Name,Description,Classifiers,Defining Organization Unit,Judging Assessment,Supporting Course Of Action,Supporting Directive,Parent,Sub-Desired Result,Amplified Vision,Quantifying Objective
Engaged Citizens,"Engaged citizens, community and neighborhood organizations.",,,,,,"Definition:""BMM Goal"":""Community Partnerships""",,,
Ensure a safe community,,,,,"Definition:""BMM Strategy"":""Strengthen emergency management""
Definition:""BMM Strategy"":""Safe infrastructure and working environment""
Definition:""BMM Strategy"":""Collaborate for a safe community""",,,,,
Enterprise Priorities,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Environmental Health,,,,,,,"Definition:""BMM Goal"":""Safe Environment""",,,
Equity Fairness and Respectfulness,,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Evaluate data,,,,,,,"Definition:""BMM Goal"":Research",,,
Excellence in municipal government,Strive for continued excellence as a municipal government.,,,,"Definition:""BMM Strategy"":""Ensure financial stability""
Definition:""BMM Strategy"":""Advocate for adequate funding""
Definition:""BMM Strategy"":""Educate constituents about services""
Definition:""BMM Strategy"":""Communicate directly about community needs""
Definition:""BMM Strategy"":""Strengthen service coordinate between area municipalities""
Definition:""BMM Strategy"":""Accountability for decisions and outcome performance""
Definition:""BMM Strategy"":""Attract effective municipal workforce""
Definition:""BMM Strategy"":""Manage growth""
Definition:""BMM Strategy"":""Increase waste diversion""
Definition:""BMM Strategy"":""Reduce per capita water consumption""",,,,,
Expanded Use of Renewable Power,,,,,,,"Definition:""BMM Goal"":""Energy / Environmental Management""",,,
Expanded Use of Renewal Power,,,,,,,,,,
Feels Safe,,,,,"Definition:""BMM Strategy"":""911 Emergency""
Definition:""BMM Strategy"":""Police Protection""
Definition:""BMM Strategy"":""Fire Protection""
Definition:""BMM Strategy"":Lighting
Definition:""BMM Strategy"":Sidewalks
Definition:""BMM Strategy"":""Traffic Calming""",,"Definition:""BMM Goal"":""Improved Community Quality""",,,
Find new venuess for business resource outreach,,,,,,,"Definition:""BMM Goal"":""Promote Existing Business""",,,
Fire Prevention,,,,,,,"Definition:""BMM Goal"":Prevention",,,
Fire Safety Imspections,,,,,,,"Definition:""BMM Goal"":Policing",,,
Fiscal Soundness,"Including credit ratings, adequate reserves and accurate revenue projections.",,,,,,"Definition:""BMM Goal"":Integrity",,,
Foster Economic Development Collaboration,,,,,,,"Definition:""BMM Goal"":""Economic Development""","Definition:""BMM Goal"":""Outside funding acquisition""
Definition:""BMM Goal"":""Further eductional goals""
Definition:""BMM Goal"":""Partner to identify business needs""
Definition:""BMM Goal"":""Collaborate on economic development planning""",,
Further eductional goals,,,,,,,"Definition:""BMM Goal"":""Foster Economic Development Collaboration""",,,
Gather data,,,,,,,"Definition:""BMM Goal"":Research",,,
Generate new Leadership,,,,,,,"Definition:""BMM Goal"":Cultivation",,,
Good Amenities,,,,,"Definition:""BMM Strategy"":""Close Parks/Recreation/Culture""
Definition:""BMM Strategy"":""Schools/ibraries""
Definition:""BMM Strategy"":""Close Retail/Services/Jobs""
Definition:""BMM Strategy"":""Close Open Space/Habitat""",,"Definition:""BMM Goal"":""Improved Community Quality""",,,
Good Neighbor Relationships,,,,,"Definition:""BMM Strategy"":Quite
Definition:""BMM Strategy"":""Welcoming/Inclusive/Diverse""
Definition:""BMM Strategy"":""College Staff/Students/Landlords Collaboration/Outreach""
Definition:""BMM Strategy"":""Informal Networks/Neighborhood Organization""
Definition:""BMM Strategy"":""Conflict Resolution""
Definition:""BMM Strategy"":""Code Enforcement""",,"Definition:""BMM Goal"":""Improved Community Quality""",,,
Health,,,,,,,"Definition:""BMM Goal"":""Children and Families""","Definition:""BMM Goal"":""Routine & ER Care""
Definition:""BMM Goal"":""Disease Prevention""
Definition:""BMM Goal"":""Public Health Interventions""
Definition:""BMM Goal"":""Community Health Assessment""",,
Health Services,"Substance abuse treatment, mental health and health services",,,,,,"Definition:""BMM Goal"":Prevention",,,
High Quality Standards,,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Historic Preservation,,,,,,,"Definition:""BMM Goal"":""Reduction of Neighborhood Blight""",,,
Human Capital & Culture,,,,,,,"Definition:""BMM Goal"":Innovation","Definition:""BMM Goal"":""Stimulate cultural change""
Definition:""BMM Goal"":""Better hiring practices""
Definition:""BMM Goal"":""Citywide training""
Definition:""BMM Goal"":""Professional development""
Definition:""BMM Goal"":""Encourage employee innovation""",,
Identify new business opportunities,,,,,,,"Definition:""BMM Goal"":""Spur Growth of New Businesses""",,,
Improve business community outreach,,,,,,,"Definition:""BMM Goal"":""Promote Existing Business""",,,
Improve citizen transactions,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
Improve NOLA Brand,,,,,,,"Definition:""BMM Goal"":Cultivation",,,
Improve Zoning for new development,,,,,,,"Definition:""BMM Goal"":""Spur Growth of New Businesses""",,,
Improved community communication,"Improve communication between City Hall and New Orleans residents, community groups, and local businesses.
",,,,,,"Definition:""BMM Goal"":Cultivation",,,
Improved Community Quality,,,,,,,"Definition:""BMM Goal"":""Sustainable Communities""","Definition:""BMM Goal"":""Feels Safe""
Definition:""BMM Goal"":""Good Neighbor Relationships""
Definition:""BMM Goal"":""Attractive Neighborhoods""
Definition:""BMM Goal"":""Good Amenities""
Definition:""BMM Goal"":""Adequate Supply of Quality Housing""
Definition:""BMM Goal"":""Can Move Around""",,
Improved Pest Control,"Provide improved pest, insect and vector control.
",,,,,,"Definition:""BMM Goal"":""Improved Quality of Life""",,,
Improved Public Transit Alternatives,,,,,,,,,,
Improved Quality of Life,,,,,,,"Definition:""BMM Goal"":""Sustainable Communities""","Definition:""BMM Goal"":""Improved Transportability""
Definition:""BMM Goal"":""Public Transit Alternatives""
Definition:""BMM Goal"":""Mixed-use Zoning""
Definition:""BMM Goal"":""Increased cultural activities""
Definition:""BMM Goal"":""Improved Pest Control""",,
Improved Streets & Sidewalks,,,,,,,,,,
Improved Streets and Sidewalks,,,,,,,"Definition:""BMM Goal"":""Infrastructure Improvements""",,,
Improved Transportability,Including bicycle and pedestrian friendly streets.,,,,,,"Definition:""BMM Goal"":""Improved Quality of Life""",,,
Improved Transportation,"Improved transportation, including bicycle and pedestrain friendly streets",,,,,,,,,
Incarceration Alternatives,"Effective alternatives to incarceration""
",,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Increas workforce skill levels,,,,,,,"Definition:""BMM Goal"":""Workforce Growth & Enhancement""",,,
Increase business communication,,,,,,,"Definition:""BMM Goal"":""Promote Existing Business""",,,
Increase Overall Capacity,,,,,,,"Definition:""BMM Goal"":""Technology & Infrastructure""",,,
Increase Workforce Participation,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Increased cultural activities,,,,,,,"Definition:""BMM Goal"":""Improved Quality of Life""",,,
Increased neighborhood cultural activities,,,,,,,,,,
Information Accessibility,"Consistent, predictable and assessible to all stakeholders in a form they can consume.",,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Information for investment decisions,,,,,,,"Definition:""BMM Goal"":""Spur Growth of New Businesses""",,,
Infrastructure for Improved Service,"Infrastructure investments that improve quality of life, service or reduce costs.
",,,,,,"Definition:""BMM Goal"":""Technology & Infrastructure""",,,
Infrastructure Improvements,,,,,,,"Definition:""BMM Goal"":""Sustainable Communities""","Definition:""BMM Goal"":""100-year Storm Protection""
Definition:""BMM Goal"":""Water and Sewer Systems Improvements""
Definition:""BMM Goal"":""Improved Streets and Sidewalks""
Definition:""BMM Goal"":""Capital Improvment Program""",,
Innovation,"Addresses:

Number and impact of technology-based innovations in crime, blight and city services

Return on investment for innovations that demonstrate savings or generate new revenue of $100,000 or more annually

Number of projects receiving formal recognition by a national organization, third party or citizens",,,,,,,"Definition:""BMM Goal"":Research
Definition:""BMM Goal"":Collaboration
Definition:""BMM Goal"":Cultivation
Definition:""BMM Goal"":""Human Capital & Culture""
Definition:""BMM Goal"":""Technology & Infrastructure""","""A Model, Unified, Creative City""",
Innovative Approaches,,,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""",,,
Integration of environmental programs,,,,,,,,,,
Integration of Environmental Programs,,,,,,,"Definition:""BMM Goal"":""Energy / Environmental Management""",,,
Integrity,,,,,,,"Definition:""BMM Goal"":""Open & Effective Government""","Definition:""BMM Goal"":""Effective Reporting""
Definition:""BMM Goal"":""Clean Audits""
Definition:""BMM Goal"":""Fiscal Soundness""
Definition:""BMM Goal"":Transparency",,
Internal/External Customer Service,Internal and External,,,,,,"Definition:""BMM Goal"":""Open & Effective Government""","Definition:""BMM Goal"":""Consistent Feedback""
Definition:""BMM Goal"":""High Quality Standards""
Definition:""BMM Goal"":""Equity Fairness and Respectfulness""
Definition:""BMM Goal"":""Information Accessibility""
Definition:""BMM Goal"":""Customer Outreach""
Definition:""BMM Goal"":""Workforce Morale""
Definition:""BMM Goal"":""Effective Media Relations""
Definition:""BMM Goal"":""Effective Customer Access""
Definition:""BMM Goal"":""Timely Responses""",,
Job Progression Opportunities,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Job Training,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Jobs,,,,,,,"Definition:""BMM Goal"":""Children and Families""","Definition:""BMM Goal"":""Well Paying Jobs""
Definition:""BMM Goal"":""Job Training""
Definition:""BMM Goal"":""Increase Workforce Participation""
Definition:""BMM Goal"":""Mentoring/Networking""
Definition:""BMM Goal"":""Access to Transportation""
Definition:""BMM Goal"":""Job Progression Opportunities""
Definition:""BMM Goal"":""Diverse Industries""",,
Leverage data to assist business development,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
Long-Term Financial Plan,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Maintain and improve community health,,,,,"Definition:""BMM Strategy"":""Influence healthy living through community design""
Definition:""BMM Strategy"":""Increase investment in prevention strategies""
Definition:""BMM Strategy"":""Deliver services for evolving health needs""
Definition:""BMM Strategy"":""Ensure a clean, safe and adequate water supply""",,,,,
Maintain business support procedures,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
Mentoring/Networking,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Mitigation,,,,,,,"Definition:""BMM Goal"":Prevention",,,
Mixed-use Zoning,"Mixed-use Zoning to allow people to live, work, and shop in their neighborhood. ",,,,,,"Definition:""BMM Goal"":""Improved Quality of Life""",,,
New bid participants for City services,,,,,,,"Definition:""BMM Goal"":""Spur Growth of New Businesses""",,,
New business development,,,,,,,"Definition:""BMM Goal"":""Spur Growth of New Businesses""",,,
Non-profits,,,,,,,"Definition:""BMM Goal"":Collaboration",,,
Offender Housing,"Housing and employment for offenders returning to the community.
",,,,,,"Definition:""BMM Goal"":Prevention",,,
Open & Effective Government,"Addresses:

Customer satisfaction ratings in each result area as measured with customer surveys and related data.

Efficiency and effectiveness measured by the number of process improvement projects across City government that improve results and/or save money

Responsiveness measured by the number of electronic transactions and access points available to citizens",,,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""
Definition:""BMM Goal"":""Effective Partnerships""
Definition:""BMM Goal"":""Align Planning Budgeting, Results""
Definition:""BMM Goal"":""Internal/External Customer Service""
Definition:""BMM Goal"":Integrity","""A Model, Unified, Creative City""",
Other government entities,,,,,,,"Definition:""BMM Goal"":Collaboration",,,
Outside funding acquisition,,,,,,,"Definition:""BMM Goal"":""Foster Economic Development Collaboration""",,,
Partner to identify business needs,,,,,,,"Definition:""BMM Goal"":""Foster Economic Development Collaboration""",,,
Performance Audits,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Performance Plan,"Individual performance plan and flexible performance agreements
",,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Police Response and Follow Up,Police Response & Follow Up Investigations,,,,,,"Definition:""BMM Goal"":Policing",,,
Policing,,,,,,,"Definition:""BMM Goal"":""Public Safety""","Definition:""BMM Goal"":""Arrest Violent Offenders""
Definition:""BMM Goal"":""Crime Prevention""
Definition:""BMM Goal"":""Community Policing""
Definition:""BMM Goal"":""Strategic Deployment""
Definition:""BMM Goal"":""Eliminate Drug Markets""
Definition:""BMM Goal"":""Police Response and Follow Up""
Definition:""BMM Goal"":""Fire Safety Imspections""",,
Pre-K-12 Success,,,,,,,"Definition:""BMM Goal"":Education",,,
Prevention,,,,,,,"Definition:""BMM Goal"":""Public Safety""","Definition:""BMM Goal"":""Economic and Educational Opportunity""
Definition:""BMM Goal"":""Health Services""
Definition:""BMM Goal"":""Offender Housing""
Definition:""BMM Goal"":""Reduced Violence""
Definition:""BMM Goal"":""Traffic Safety""
Definition:""BMM Goal"":""Fire Prevention""
Definition:""BMM Goal"":Mitigation",,
Professional development,,,,,,,"Definition:""BMM Goal"":""Human Capital & Culture""",,,
Promote Existing Business,,,,,,,"Definition:""BMM Goal"":""Economic Development""","Definition:""BMM Goal"":""Increase business communication""
Definition:""BMM Goal"":""Improve business community outreach""
Definition:""BMM Goal"":""Publicize available resources""
Definition:""BMM Goal"":""Find new venuess for business resource outreach""",,
Promote new business culture,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
"Protect, enhance and restore the environment","A business goal

",,,,"Definition:""BMM Strategy"":""Support viability of agricultural resources""
Definition:""BMM Strategy"":""Protect and restore water resources""
Definition:""BMM Strategy"":""Promote low impact development""
Definition:""BMM Strategy"":""Leadership in environmental management""
Definition:""BMM Strategy"":""Improve air quality""
Definition:""BMM Strategy"":""Collaborate on environmental issues""
Definition:""BMM Strategy"":""Reduce greenhouse gas emissions (GHG)""
Definition:""BMM Strategy"":""Minimize the impact of waste""
Definition:""BMM Strategy"":""Increase waste diversion""
Definition:""BMM Strategy"":""Reduce per capita water consumption""",,,,,
Provide Business Support Services,,,,,,,"Definition:""BMM Goal"":""Economic Development""","Definition:""BMM Goal"":""Reduce permit turnaround time""
Definition:""BMM Goal"":""Maintain business support procedures""
Definition:""BMM Goal"":""Coordinate wiht businesses""
Definition:""BMM Goal"":""Improve citizen transactions""
Definition:""BMM Goal"":""Leverage data to assist business development""
Definition:""BMM Goal"":""Promote new business culture""
Definition:""BMM Goal"":""Simplify City contracts process""",,
Provide improved pest control,"Including pest, inspection and vector control",,,,,,,,,
Public Education,,,,,,,"Definition:""BMM Goal"":""Community Partnerships""",,,
Public Health Interventions,,,,,,,"Definition:""BMM Goal"":Health",,,
Public Safety,"Addresses:

Violent and total crime rates (UCR offenses) as reported by NOPD

Response time by public safety departments (Fire, EMS, NOPD) to 911 calls

Citizen satisfaction with public safety service delivery as measured by surveys",,,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""
Definition:""BMM Goal"":""Community Partnerships""
Definition:""BMM Goal"":""Emergency Preparedness & Response""
Definition:""BMM Goal"":Policing
Definition:""BMM Goal"":Prevention","""A Model, Unified, Creative City""",
Public Transit Alternatives,Improved public transit alternatives,,,,,,"Definition:""BMM Goal"":""Improved Quality of Life""",,,
Publicize available resources,,,,,,,"Definition:""BMM Goal"":""Promote Existing Business""",,,
Recidivism Reduction,,,,,"Definition:""BMM Strategy"":""Use ex-offeders to cut overgrown lots""",,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Recreation/Culature,,,,,,,"Definition:""BMM Goal"":""Children and Families""","Definition:""BMM Goal"":""Cultural and Recreational Opportunities""
Definition:""BMM Goal"":""Assessibility to Activities""",,
Recuriting and Retention,,,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""",,,
Reduce permit turnaround time,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
Reduce Utility Bills,Reduce your utility bills and protect the environment by improving home energy efficiency.,,,,,,"Definition:""BMM Goal"":""Energy / Environmental Management""",,,
Reduced Violence,Reduced youth and family violence.,,,,,,"Definition:""BMM Goal"":Prevention",,,
Reduction of Neighborhood Blight,,,,,,,"Definition:""BMM Goal"":""Sustainable Communities""","Definition:""BMM Goal"":""Blight Removal""
Definition:""BMM Goal"":""Reuse of Blighted Areas""
Definition:""BMM Goal"":""Blight Code Enforcement""
Definition:""BMM Goal"":""Historic Preservation""",,
Reinvestment/Reuse of Blighted Areas,,,,,,,,,,
